    1    0    1    3    3    3    4    2    3   3.60E+40  -2.18E-11
    2    0    3    4    0    1  101    2    1   2.78E-41   2.18E-11
    3    0    3    8    3    3    9    2    3   3.59E+40  -3.94E-11
    4    0    3    9    0    8  101    2    1   2.78E-41   3.94E-11
    5    0    3    9    3    3   10    2    3   3.60E+40  -8.72E-11
    6    0    3   10    0    9  101    2    1   2.78E-41   8.72E-11
    7    0    1    3    0    7  101    2    1   2.78E-41   1.21E-12
    8    0    1    7    0    2    3    2    2   2.78E+04   5.97E-12
    9    0    1    4    0    5  101    2    1   7.72E-37   4.25E-12
   10    0    1    5    0    2    4    2    2   1.00E+00   2.93E-12
   11    0    2    4    0    1    5    2    2   1.00E+00  -2.93E-12
   12    0    2    3    1    1    3    2    3   1.30E+36  -7.17E-12
   13    0    1    2    1    1    1    2    3   1.30E+36  -7.17E-12
   14    0    3    7    1    3    3    2    3   3.60E+40  -1.21E-12
   15    0    4    7    0    1    1    2    2   1.00E+00   2.06E-11
   16    0    4    7    0    3    5    2    2   2.77E+04   3.04E-12
   17    0    3    5    0    1    1    2    2   3.60E-05   1.75E-11
   18    0    5    7    0    1    2    2    2   1.00E+00   2.35E-11
   19    1    1    1    0    1    2    3    2   7.72E-37   7.17E-12
   20    1    1    2    0    2    2    3    2   7.72E-37   7.17E-12
   21    0    2    2    1    1    2    2    3   1.30E+36  -7.17E-12
   22    0    1    1    1    3    4    2    3   3.60E+40  -2.18E-11
   23    0    0    0    0    0    0    0    0   1.00E+00   0.00E+00
   24    0    2    9    1    4    8    2    3   1.30E+36   1.04E-11
   25    0    5    8    0    1   11    2    2   2.02E+00  -1.35E-12
   26    0    2    5    0    1    6    2    2   1.54E+00   2.69E-12
   27    0    6    7    0    2    2    2    2   6.50E-01   2.08E-11
   28    0    1    9    0    4    8    2    2   1.00E+00   1.76E-11
   29    0    7    9    0    1    8    2    2   1.00E+00   3.82E-11
   30    0    2    9    0    5    8    2    2   1.00E+00   1.47E-11
   31    0    1   11    0    5    8    2    2   4.95E-01   1.35E-12
   32    0    2   11    0    6    8    2    2   7.62E-01   4.04E-12
   33    0    5    7    0    3    6    2    2   4.27E+04   8.66E-12
   34    0    3    6    0    1    2    2    2   2.34E-05   1.48E-11
   35    0    3    6    1    1    1    2    3   3.03E+31   7.68E-12
   36    0    3   11    0    1    8    2    2   1.79E-05   1.89E-11
   37    0    2    8    1    1    8    2    3   1.30E+36  -7.17E-12
   38    0    1    7    1    1    3    2    3   3.60E+40  -1.21E-12
   39    0    5    7    1    1    1    2    3   1.30E+36   1.63E-11
   40    0    2    3    0    1    7    2    2   3.60E-05  -5.97E-12
   41    0    4    8    0    1    9    2    2   9.99E-01  -1.76E-11
   42    0    7    8    1    3    8    2    3   3.60E+40  -1.21E-12
   43    1    1    8    0    2    8    3    2   7.72E-37   7.17E-12
   44    0    1    5    0    6  101    2    1   1.19E-36   9.87E-12
   45    0    2    4    0    6  101    2    1   1.19E-36   6.94E-12
   46    0    4    8    0   11  101    2    1   1.56E-36   2.90E-12
   47    0    3   13    1    3   12    2    3   8.42E+35  -7.23E-12
   48    0    8   13    1    8   12    2    3   8.42E+35  -7.23E-12
   49    0    2   13    1    2   12    2    3   8.42E+35  -7.23E-12
   50    0    1   13    1    1   12    2    3   8.42E+35  -7.23E-12
   51    0    3   14    0   12  101    2    1   2.78E-41   2.18E-11
   52    0    4   12    0    1   14    2    2   1.00E+00  -5.93E-15
   53    0    1   14    0    4   12    2    2   1.00E+00   5.93E-15
   54    0    1   12    0   13  101    2    1   1.19E-36   7.23E-12
   55    0    2   12    0    1   13    2    2   1.54E+00   5.72E-14
   56    0    1   15    0    4   13    2    2   1.00E+00   2.96E-12
   57    0    2   14    0    4   13    2    2   1.54E+00   6.31E-14
   58    0    1   13    0    2   12    2    2   6.50E-01  -5.72E-14
   59    0    4   13    0    2   14    2    2   6.50E-01  -6.31E-14
   60    0    4   12    0   15  101    2    1   1.19E-36   4.27E-12
   61    0    1   14    0   15  101    2    1   1.19E-36   4.28E-12
   62    0    3   15    0    1   12    2    2   2.34E-05   1.75E-11
   63    0    3   12    0   16  101    2    1   2.78E-41   1.21E-12
   64    0   14   16    0   12   12    2    2   1.00E+00   2.06E-11
   65    0    4   16    0    1   12    2    2   1.00E+00   2.06E-11
   66    0    7   12    0    1   16    2    2   1.00E+00   4.15E-16
   67    0    1   16    0    7   12    2    2   1.00E+00  -4.15E-16
   68    0    1   16    0    3   13    2    2   4.27E+04   6.02E-12
   69    0    3   12    3    3   14    2    3   3.59E+40  -2.18E-11
   70    0    9   12    0    8   14    2    2   1.00E+00   1.76E-11
   71    0    8   14    0    9   12    2    2   1.00E+00  -1.76E-11
   72    0    5   12    0    1   15    2    2   1.54E+00   2.72E-14
   73    0   12   15    0   13   14    2    2   1.00E+00   2.95E-12
   74    0    1   15    0    5   12    2    2   6.50E-01  -2.72E-14
   75    0    3   13    0    1   16    2    2   2.34E-05  -6.02E-12
   76    0    3   13    0    7   12    2    2   2.34E-05  -6.02E-12
   77    0    4   16    0    3   15    2    2   4.27E+04   3.06E-12
   78    0    7   14    0    3   15    2    2   4.27E+04   3.07E-12
   79    0    3   16    3    3   12    2    3   3.59E+40  -1.21E-12
   80    0    1   16    1    3   12    2    3   3.59E+40  -1.21E-12
   81    0    8   16    3    8   12    2    3   3.59E+40  -1.21E-12
   82    0    7   14    0    1   12    2    2   1.00E+00   2.06E-11
   83    0    5   16    0    2   12    2    2   1.00E+00   2.35E-11
   84    0    5   16    1    1   12    2    3   1.30E+36   1.63E-11
   85    0    7   15    0    1   13    2    2   1.00E+00   2.35E-11
   86    0    7   15    1    1   12    2    3   8.42E+35   1.63E-11
   87    0   15   16    0   12   13    2    2   1.00E+00   2.35E-11
   88    0   15   16    1   12   12    2    3   8.42E+35   1.63E-11
   89    0    9   16    0    8   12    2    2   1.00E+00   3.82E-11
   90    0    5   12    0    2   14    2    2   1.00E+00   2.92E-12
   91    0    5   12    0    4   13    2    2   1.54E+00   2.98E-12
   92    0    1   15    0    2   14    2    2   6.50E-01   2.89E-12
