    2    3    4    1  101    2    1    2.78795E-041    2.17871E-011
    4    3    9    8  101    2    1    2.78965E-041    3.93933E-011
    6    3   10    9  101    2    1    2.78809E-041    8.71859E-011
    7    1    3    7  101    2    1    2.78799E-041    1.20867E-012
    9    1    4    5  101    2    1    7.73495E-037    4.24688E-012
   44    4    8   11  101    2    1    1.56169E-036    2.90085E-012
   51    3   14   12  101    2    1    2.78909E-041    2.17930E-011
   54    1   12   13  101    2    1    1.19083E-036    7.23181E-012
   60    4   12   15  101    2    1    1.19018E-036    4.27406E-012
   63    3   12   16  101    2    1    2.78909E-041    1.20909E-012
  101    3   19   17  101    2    1    2.78963E-041    8.63849E-012
  104    3   17   20  101    2    1    2.78963E-041    9.90146E-013
  113    4   17   21  101    2    1    1.78437E-036    1.33808E-011
  118    1   17   18  101    2    1    1.78583E-036    3.86847E-012
  121    3   22   19  101    2    1    2.79023E-041    1.21191E-010
  122    3   23   22  101    2    1    2.79023E-041    1.96196E-010
    8    1    7    2    3    2    2    2.77552E+004    5.96598E-012
   26    2    5    1    6    2    2    1.53938E+000    2.69052E-012
