1       0          1            0           69        1
2       0          1            0           70        1
3       0          2            0           71        1
4       0        12            0           72        1
5       0        12            0           73        1
6       0        13            0           74        1
7       0         30            0           75        1
8       0         31            0           76        1
9       0         32            0           77        1
10     0         33            0           78        1
11     0         37            0           79        1
12      0         34            0           80        1
13      0         36            0           81        1
14      0         39            0           82        1
15      0         35            0           83        1
16      0         38            0           84        1
17      0         17            0           85        1
18      0         19            0           86        1
19      0         20            0           87        1
20      0         21            0           88        1
21      0         22            0           89        1
22      0         69            0            1        0
23      0         70            0            1        0
24      0         71            0            2        0
25      0         72            0           12        0
26      0         73            0           12        0
27      0         74            0           13        0
28      0         75            0           30        0
29      0         76            0           31        0
30      0         77            0           32        0
31      0         78            0           33        0
32      0         79            0           37        0
33      0         80            0           34        0
34      0         81           30           32        0
35      0         82            0           39        0
36      0         83            0           35        0
37      0         84            0           38        0
38      0         85            0           17        0
39      0         86            0           19        0
40      0         87            0           20        0
41      0         88            0           21        0
42      0         89            0           22        0
43     69         69            0           71        1
44     69         72            0           74        1
45     69         75            0           77        1
46     69         77            0           80        1
47     69         76            0           81        1
48     69         78            0           83        1
49     69         81            0           82        1
50     69         83            0           84        1
51     69         85            0           86        1
52     69         86            0           87        1
53     69         87            0           88        1
54     69         88            0           89        1
55     75         75            0           76        1
56     75         85            0           78        1
57     75         78            0           79        1
58     77         77            0           82        1
59     69         69            0           2          1
60     69         72            0           13        1
61     69         75            0           32        1
62     69         77            0           34        1
63     69         76            0           36        1
64     69         78            0           35        1
65     69         81            0           39        1
66     69         83            0           38        1
67     69         85            0           19        1
68     69         86            0           20        1
69     69         87            0           21        1
70     69         88            0           22        1
71     75         75            0           31        1
72     75         85            0           33        1
73     75         78            0           37        1
74     77         77            0           39        1
75     69         80          71           77        1
76     69         81          77           77        1
77     69         81          32           32        1
78     69         82          77           80        1
79     69         82          32           80        1
80     69         82          32           34        1
81     69         83          71           78        1
82     69         83           2           78        1
83     69         83           2           33        1 
84     69         84          71           83        1
85     69         84           2           83       1 
86     69         84           2           35        1
87     69         79          77           78        1
88     69         86          71           85        1
89     69         86           2           85        1
90     69         86           2           17        1
91     69         87          71           86        1
92     69         87           2           86         1
93     69         87           2           19         1
94     69         88          71           87         1
95     69         89          71           88         1
96     75         77          69           76         1
97     75         77           1           76         1
98     75         77           1           31         1
99     75         81          76           77         1
100    75         81          31           77         1
101    75         81          31           32         1
102    75         83          69           79         1
103    75         83           1           79         1
104    75         83           1           37         1
105    75         84          71           79         1
106    75         84           2           79         1
107    75         84           2           37         1
108    71         77          69           80         1
109    71         77           1           80         1
110    77         78          69           79         1
111    77         78           1           79         1
112    77         78           1           37         1
113    77         83          71           79         1
114    77         83           2           79         1
115    77         83           2           37         1
116    71         81          69           82          1
117     0         69           0           70         0
118     1         70           0            2         2
119    69         70           0            2         1
120     0         72           0           73         0
121     1         73           0           13        2
122    12         70           0           13        2
123    69         73           0           13        1
124    70         72           0           13        1
125     1          69           0           2          2
126     1          72           0           13        2
127    12         69           0           13       2
131      0         69            0            1        0
132      0         70            0            1        0
133      0         71            0            2        0
134      0         72            0           12        0
135      0         73            0           12        0
136      0         74            0           13        0
137      0         75            0           30        0
138      0         76            0           31        0
139      0         77            0           32        0
140      0         78            0           33        0
141      0         79            0           37        0
142      0         80            0           34        0
143      0         81           30           32        0
144      0         82            0           39        0
145      0         83            0           35        0
146      0         84            0           38        0
147      0         85            0           17        0
148      0         86            0           19        0
149      0         87            0           20        0
150      0         88            0           21        0
151      0         89            0           22        0
