  1.00783e0   2.01565e0   5.5e-4      1.00728e0   2.01510e0
  3.02293e0   1.00837e0   4.00260e0   4.00205e0   4.00000e0
  5.00988e0   2.01410e0   3.02204e0   2.01355e0   3.02149e0
  2.01465e0
  1.20000e1   2.40000e1   1.30078e1   1.40157e1   1.50235e1
  1.60313e1   1.19995e1   2.39994e1   1.30023e1   1.40101e1
  1.50179e1   1.60257e1   1.70336e1
  1.59949e1   3.19898e1   1.70027e1   2.79949e1   1.80106e1
  2.90027e1   3.29977e1   4.39898e1   3.00106e1   3.40055e1
  1.59944e1   3.19893e1   1.70022e1   2.79944e1   1.80100e1
  2.90022e1   3.29971e1   1.90178e1   3.00100e1   4.49893e1
  3.10178e1
  6.94100e0   7.94900e0   6.94040e0   6.94160e0   7.94840e0
  6.93980e0   6.93920e0
  3.90980e1   3.90974e1
  2.29900e1   2.29894e1
  2.43050e1   2.43044e1
  1.00000e6   1.00000e6   1.00000e6   1.00000e6   1.00000e6
  1.00783e0   1.00783e0   2.01565e0   2.01410e0   2.01410e0
  3.02204e0   1.59949e1   3.19898e1   1.70027e1   2.79949e1
  4.39898e1   1.80106e1   3.29977e1   3.40055e1   2.90027e1
  3.00106e1   1.20000e1   1.30078e1   1.40157e1   1.50235e1
  1.60313e1
